Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
CA231831,909,2019,9,102302,2023,1,786,0,NULL,5,2,3,0.4,5.05,2,0,2,0,0.46,7,2,5,0.2857,2.75,1.8,0.5,10,0,0,0,1,1,1,1,0,0,0,0,0,4,0
CA231868,104,2023,1,102301,2023,1,1156,0,NULL,4,0,3,0,2,NULL,NULL,NULL,NULL,NULL,4,0,3,0,2,0,0,4,1,0,0,1,1,1,1,0,0,0,0,0,4,1
CA232019,403,2023,1,102301,2023,1,266,0,NULL,5,3,1,0.6,3.99,NULL,NULL,NULL,NULL,NULL,5,3,1,0.6,3.99,13.9,0,4,1,0,0,1,1,0,1,0,0,0,0,0,3,1
CA232067,702,2022,1,102301,2023,1,285,0,NULL,4,1,2,0.25,3.79,4,2,1,0.5,4.24,8,3,3,0.375,4.01,18.5,1.5,8,3,0,0,1,1,0,1,1,0,0,0,0,4,0
CA232263  ,702,2022,1,102301,2023,1,451,0,NULL,4,3,1,0.75,5.94,3,0,0,0,0,7,3,1,0.4286,2.97,5.6,0,8,0,3,0,1,1,1,1,0,1,0,0,0,5,1
CA232286,209,2019,2,102301,2023,1,838,0,NULL,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,0,0,0,0,0,1.5,4,0,4,0,1,1,1,1,0,1,0,0,0,5,1
CA232364  ,209,2019,1,102302,2023,1,185,0,NULL,5,1,3,0.2,3.22,3,0,3,0,1.87,8,1,6,0.125,2.54,2.5,1.5,8,1,0,0,1,1,1,1,0,0,0,0,0,4,1
CA232705  ,444,2018,1,102301,2023,1,152,0,NULL,6,6,0,1,7.69,5,4,1,0.8,8.25,11,10,1,0.9091,7.97,69.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CA240297  ,104,2024,1,102301,2024,1,285,0,NULL,4,2,1,0.5,5.75,4,2,2,0.5,5.92,8,4,3,0.5,5.83,8.7,1,10,1,0,1,1,1,1,1,0,0,1,0,0,5,0
CA240320,106,2024,1,102302,2024,1,153,0,NULL,4,2,0,0.5,4.45,4,0,0,0,0,8,2,0,0.25,2.23,3.8,1.5,10,2,4,0,1,1,1,1,1,1,0,0,0,6,0
CA240335,702,2024,1,102301,2024,1,35,0,NULL,4,3,0,0.75,6.31,5,5,0,1,7.48,9,8,0,0.8889,6.9,16.7,1,10,1,0,0,1,0,0,1,0,0,0,0,0,2,0
CA240726,102,2024,1,102301,2024,1,603,0,NULL,4,2,0,0.5,4.03,3,1,2,0.3333,5.07,7,3,2,0.4286,4.55,11.1,1,10,2,0,0,1,1,0,1,1,0,0,0,0,4,0
CA240754,104,2024,1,102302,2024,1,811,0,NULL,4,4,0,1,8.02,4,4,0,1,8.2,8,8,0,1,8.11,39.1,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA240769  ,209,2024,1,102302,2024,1,494,0,NULL,5,5,0,1,8.38,5,5,0,1,8.69,10,10,0,1,8.54,45.3,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA240862,206,2024,1,102302,2024,1,178,0,NULL,4,3,0,0.75,6.69,4,4,0,1,8.95,8,7,0,0.875,7.82,64.3,1,10,1,0,0,1,0,0,1,0,0,0,0,0,2,0
CA240997  ,209,2024,1,102302,2024,1,153,0,NULL,5,5,0,1,8.33,5,5,0,1,9.23,10,10,0,1,8.78,47.8,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA241092,103,2024,1,102301,2024,1,152,0,NULL,4,4,0,1,7.36,4,3,0,0.75,5.1,8,7,0,0.875,6.23,28.1,1.5,10,1,0,0,1,1,0,1,0,0,0,0,0,3,0
